action_id,risk_class,confidence,action_type,target_issue,target_title,proposed_title,proposed_body_or_comment,labels_to_add,labels_to_remove,duplicate_of,close_reason,reopen_reason,code_evidence,test_evidence,pr_evidence,doc_evidence,agent_recommendation,plain_language_reason,owner_decision
ACT-001,GREEN_SAFE,0.95,NO_ACTION,243,"Agentic/Vibe-Coding Baseline 2026: Multi-Phase Orchestrator Capabilities",,,NONE,NONE,,,,Type definitions exist in shared/types.ts and shared/interfaces.ts,917/917 core tests pass,Sub-issues #244-#247 track phases,ADR-001 documented,DO_NOT_APPLY,"Active epic with clear phases. Sub-issues correctly blocked on approval. No action needed.",PENDING
ACT-002,GREEN_SAFE,0.95,NO_ACTION,268,"CI Recovery: diagnose and repair systemic Quality Gates / Issue Verification failures",,,NONE,NONE,,,,"Workflow YAML correct; root cause is runner quota (infrastructure not code)",Local gates pass 917/917; CI fails due to quota,PR #269 (LF normalize) merged; PR #278 (closeout) merged,known-limitations.md documents CI advisory-only status,DO_NOT_APPLY,"Active tracker for known infrastructure limitation. Not a code issue. Keep open.",PENDING
ACT-003,GREEN_SAFE,0.95,NO_ACTION,279,"Replacement: rebuild Issue #229 architecture chain on current main",,,NONE,NONE,,,,No code written yet (active task),917/917 core tests pass (baseline),No PRs yet; old chain #230-#242 is stale,Chain analysis documented in issue body,DO_NOT_APPLY,"Active replacement for #229. Well-scoped. Keep open.",PENDING
ACT-004,GREEN_SAFE,0.92,NO_ACTION,248,"[SAFE] Display LivingEvidencePortfolio in Operator Dashboard",,,NONE,NONE,,,,LivingEvidencePortfolio type in shared/types.ts:393-416,No endpoint/component tests exist,No PRs yet,Type defined but not used in server/frontend,DO_NOT_APPLY,"Well-scoped SAFE task. Type exists, implementation missing. Keep open for future work.",PENDING
ACT-005,GREEN_SAFE,0.90,NO_ACTION,250,"[SAFE] Add CT-120 Browser Evidence Smoke Test for All Dashboard Routes",,,NONE,NONE,,,,10 frontend routes documented,Playwright E2E exists (25 tests); no CT-120 smoke test,No PRs yet,current-capabilities.md documents routes,DO_NOT_APPLY,"Well-scoped SAFE task. Depends on CT-120 server. Keep open.",PENDING
ACT-006,YELLOW_REVIEW,0.72,COMMENT_ONLY,215,"Safety: Integrate Stop/Ask Policy via GATE_APPROVE runtime hook",,,NONE,NONE,,,,"Stop/Ask policy module exists in packages/sandbox/src/stop-ask-policy.ts",Safety coverage tests pass,PR #218 OPEN MERGEABLE - code ready but NOT merged,stop-ask-protocol.md exists,DO_NOT_APPLY,"PR #218 is MERGEABLE but not merged. The comment says 'Task Completed' but code is not on main. Owner must decide: merge PR #218 or close it.",PENDING
ACT-007,YELLOW_REVIEW,0.70,COMMENT_ONLY,224,"feat(tool-gateway): Dashboard and Server integration for Tool Monitoring (US-8)",,,NONE,NONE,,,,Tool Gateway foundation exists (PR #220 merged),917/917 core tests pass,PR #228 CONFLICTING - part of stale #229 chain,no evidence,DO_NOT_APPLY,"PR #228 is CONFLICTING and part of the stale #229 chain. Depends on #279 rebuild decision.",PENDING
ACT-008,YELLOW_REVIEW,0.92,COMMENT_ONLY,229,"MCP/OpenCode Provider Bootstrap: Tool Gateway + Free Models + Spec Kit Sync + Oversight UI + Blueprint Launch",,,NONE,NONE,,,,All code in unmerged PR chain #230-#242,917/917 core tests pass on main (without #229 changes),13 stacked PRs #230-#242 all MERGEABLE but base #228 CONFLICTING,Chain analysis in #279 body,DO_NOT_APPLY,"Superseded by #279. PR chain is stale and broken at base. But cannot close until 13 dependent PRs are resolved.",PENDING
ACT-009,YELLOW_REVIEW,0.68,COMMENT_ONLY,211,"docs: GitHub repo polish with verified screenshots and project presentation",,,NONE,NONE,,,,README.md exists; screenshots in docs/screenshots/,N/A (docs-only),Issue #252 closed COMPLETED covering templates/badges (overlap),#252 recently closed,DO_NOT_APPLY,"Partially done by #252 (templates/badges). Remaining scope (README rewrite, fresh screenshots) needs clarification. Consolidate with #252.",PENDING
ACT-010,YELLOW_REVIEW,0.55,COMMENT_ONLY,249,"[DECISION NEEDED] Auto-Populate Infrastructure State Stores on Server Startup",,,NONE,NONE,,,,Infrastructure state types in shared,Server tests pass,No PRs,no evidence,DO_NOT_APPLY,"Owner decision needed on auto-population strategy. Cannot proceed without architectural decision.",PENDING
ACT-011,YELLOW_REVIEW,0.50,COMMENT_ONLY,251,"[SAFE] Update api-overview.md with All Issue #229 Endpoints",,,NONE,NONE,,,,api-overview.md last updated 2026-05-24,N/A (docs-only),No PRs; endpoints only in #229 PR chain (not on main),api-overview.md is outdated,DO_NOT_APPLY,"Depends on #279 outcome. Documenting endpoints that may change is wasted work. Defer.",PENDING
ACT-012,RED_HOLD,0.95,NO_ACTION,244,"[APPROVAL REQUIRED] Implement Runtime Workspace Cleanup for GitWorkspaceAdapter",,,NONE,NONE,,,,Interface declared in shared/interfaces.ts:289-296; not implemented,No tests for 4 new methods,No PRs,no evidence,DO_NOT_APPLY,"Owner approval explicitly required. Risk: workspace data loss, race conditions. Do NOT touch.",PENDING
ACT-013,RED_HOLD,0.90,NO_ACTION,245,"[APPROVAL REQUIRED] Enforce requiresAuditLog in Tool Gateway Runtime",,,NONE,NONE,,,,Audit logging in skill layer; runtime enforcement missing,Tool Gateway red-team tests pass,No PRs,no evidence,DO_NOT_APPLY,"Owner approval explicitly required. Risk: wrong enforcement could break gateway. Do NOT touch.",PENDING
ACT-014,RED_HOLD,0.90,NO_ACTION,246,"[APPROVAL REQUIRED] Enforce GateType Layers in Pipeline Loop",,,NONE,NONE,,,,Gate types defined; runtime enforcement missing,State machine property tests pass,No PRs,no evidence,DO_NOT_APPLY,"Owner approval explicitly required. Risk: could block legitimate pipelines. Do NOT touch.",PENDING
ACT-015,RED_HOLD,0.90,NO_ACTION,247,"[APPROVAL REQUIRED] Add Trace and Eval Aggregation to runFullPipeline",,,NONE,NONE,,,,Trace/eval concept in #243 Phase 4; not implemented,917/917 core tests pass,No PRs,no evidence,DO_NOT_APPLY,"Owner approval explicitly required. Risk: performance impact. Do NOT touch.",PENDING
